P12,,,,
Dia,Oil Rate SC  [Ruído],Water Rate SC  [Ruído],Gas Rate SC  [Ruído],Well Bottom-hole Pressure   [Ruído]
3045,4395.23,98.1867,2286700,54494
3046,0,0,0,59169.8
3047,5344.1,101.917,2805020,55015.2
3048,4485.35,97.5942,2331370,54548.8
3049,4445.14,97.1128,2310170,54538.5
3050,4419.29,96.8954,2297140,54537.4
3051,4412.53,97.0616,2294210,54529.7
3052,4407.03,97.2001,2291960,54524.8
3053,4403.35,97.3493,2290660,54521.2
3054,4400.71,97.4972,2289880,54518.3
3055,4398.37,97.6265,2289220,54516.4
3056,4394.06,97.668,2287630,54517
3057,4389.78,97.7175,2286020,54519
3058,4387.95,97.8033,2285680,54518.9
3059,4386.3,97.8619,2285490,54519.2
3060,4384.56,97.7799,2285260,54519.7
3061,4383.26,97.6671,2285270,54520.2
3062,4381.66,97.5746,2285150,54521.1
3063,4380.11,97.51,2285040,54522.1
3064,4378.56,97.4614,2284910,54523.1
3065,4376.22,97.4004,2284350,54524.9
3066,4375.3,97.3875,2284500,54525.7
3067,4374.21,97.3707,2284540,54526.5
3068,4373.57,97.3653,2284800,54527.1
3069,4372.95,97.3615,2285040,54527.5
3070,4372.51,97.3645,2285350,54527.8
3071,4372.33,97.3741,2285770,54528
3072,4371.41,97.3686,2285780,54528.5
3073,4370.72,97.3695,2285880,54529.1
3074,4370.3,97.3773,2286090,54529.5
3075,4369.55,97.3837,2286110,54530
3076,4369.08,97.3993,2286230,54530.5
3077,4923.64,112.856,2574680,54217.2
3078,4413.44,99.2602,2309350,54459.1
3079,4376.43,98.0225,2290760,54506.5
3080,4369.26,97.7683,2287470,54519.7
3081,4367.35,97.7112,2286840,54524.6
3082,4367.23,97.7236,2287050,54526.3
3083,4367.09,97.7443,2287220,54527.5
3084,4366.78,97.7676,2287270,54528.4
3085,4366.63,97.7911,2287370,54529.1
3086,4366.62,97.8178,2287550,54529.4
3087,4366.57,97.8362,2287690,54529.7
3088,4366.08,97.8387,2287600,54530.3
3089,4366.17,97.8546,2287800,54530.5
3090,4366.04,97.8646,2287910,54530.7
3091,4366.28,97.8794,2288200,54530.7
3092,4366.25,97.9025,2288360,54530.8
3093,4366.26,97.9713,2288570,54531.6
3094,4366.07,98.0952,2288700,54533.1
3095,4366.18,98.2854,2289030,54535
3096,4365.8,98.5109,2289140,54537.9
3097,4365.16,98.7365,2289140,54541.6
3098,4362.81,98.9058,2288300,54547.4
3099,4362.95,99.136,2288790,54551.2
3100,4362.69,99.3656,2289100,54555.3
3101,4362.39,99.5849,2289420,54559.7
3102,4361.98,99.7913,2289720,54564.5
3103,3256.02,68.781,1713140,55193.5
3104,3301.64,66.8495,1738990,55566.8
3105,3299.46,66.163,1739300,55624.7
3106,3605.42,74.2818,1900210,55486.5
3107,3600.37,74.8439,1897680,55405.6
3108,3609.83,75.1212,1902770,55401.9
3109,3621.75,75.442,1909240,55398.9
3110,3626.09,75.5508,1911840,55401.1
3111,3628.61,75.6102,1913550,55404.9
3112,3315.89,67.0213,1750060,55587.3
3113,3337.02,66.6342,1761960,55686.8
3114,3331.66,66.2529,1759850,55713
3115,3328.48,66.0492,1758670,55729.5
3116,3323.59,65.8339,1756470,55745.6
3117,3320.89,65.7121,1755330,55758.7
3118,3882.6,80.8177,2050570,55451.5
3119,3303.59,67.0433,1745770,55592.1
3120,3327.35,66.3686,1758420,55750.7
3121,3324.05,66.1511,1757010,55771.4
3122,3323.19,66.1009,1756720,55783.8
3123,3323.2,66.1092,1756820,55793.3
3124,3323.14,66.1406,1756830,55801.3
3125,3323.56,66.2022,1757070,55808.2
3126,0,0,0,59289.8
3127,3365.66,63.4214,1780690,56035.5
3128,3350.9,65.4304,1771060,55907.8
3129,3339.68,65.7012,1764580,55882.1
3130,4490.91,96.3049,2368480,55218.2
3131,3832.92,83.1929,2021410,55165.8
3132,3881.12,83.7311,2046140,55298.4
3133,3885.25,84.1653,2048450,55292
3134,3324.64,69.5772,1754810,55602.3
3135,3356.36,68.8644,1772360,55775.2
3136,3352.39,68.5408,1771080,55801.1
3137,3350.38,68.3831,1770570,55816.5
3138,3873.91,82.1644,2045660,55530
3139,3849.13,83.2579,2032170,55369.3
3140,3859.72,84.0009,2037320,55340.7
3141,3869.51,84.5636,2042320,55321.4
3142,4304.9,96.3961,2270660,55066.2
3143,4292.06,97.7526,2263410,54911.8
3144,4300.32,98.5581,2267450,54878.4
3145,3344.93,73.3244,1766570,55399.9
3146,3386.69,71.6308,1789720,55699.1
3147,3386.01,71.0958,1790500,55737.5
3148,3375.22,70.5255,1785500,55764.8
3149,3371.79,70.2544,1784180,55781.2
3150,3369.98,70.0451,1783650,55793.2
3151,3366.97,69.7689,1782460,55803.3
3152,3366.21,69.4837,1782510,55811
3153,3366.02,69.168,1782890,55816.8
3154,3365.85,68.8216,1783300,55822
3155,3378.66,68.8307,1790540,55816.6
3156,3385.4,68.6826,1794580,55812.2
3157,3375.06,68.061,1789650,55823.1
3158,0,0,0,59291.9
3159,3430.38,63.7125,1823090,56105.6
3160,3391.67,65.5318,1799540,55935.3
3161,3384.25,65.5806,1795160,55898.6
3162,3382.46,65.4493,1794330,55881.5
3163,3381.67,65.2715,1794180,55871.8
3164,2866.71,52.0962,1523890,56156.5
