P13,,,,
Dia,Oil Rate SC  [Ruído],Water Rate SC  [Ruído],Gas Rate SC  [Ruído],Well Bottom-hole Pressure   [Ruído]
30,0,0,0,63936.77683
31,0,0,0,61608.44404
32,0,0,0,63142.07333
33,0,0,0,61677.18016
34,0,0,0,62382.27835
35,0,0,0,62977.97792
36,0,0,0,61791.79481
37,0,0,0,63742.45352
38,0,0,0,63385.18611
39,0,0,0,62298.50495
40,0,0,0,62993.62856
41,0,0,0,61787.41697
42,0,0,0,61849.40365
43,0,0,0,63778.8851
44,0,0,0,63480.38034
45,0,0,0,63930.31203
46,0,0,0,62350.18303
47,0,0,0,63685.5684
48,0,0,0,63328.28536
49,0,0,0,61837.67455
50,0,0,0,62668.63423
51,0,0,0,63604.46526
52,0,0,0,61679.23687
53,0,0,0,62724.83158
54,0,0,0,63686.56854
55,0,0,0,62437.95166
56,0,0,0,63466.33888
57,0,0,0,63208.56291
58,0,0,0,62670.9957
59,0,0,0,63039.05225
60,0,0,0,62341.73373
61,0,0,0,61874.24866
62,0,0,0,63650.61733
63,0,0,0,62764.38238
64,0,0,0,61787.83776
65,0,0,0,62872.94345
66,0,0,0,61911.78698
67,0,0,0,63849.63363
68,0,0,0,61904.02306
69,0,0,0,61827.34937
70,0,0,0,63968.43861
71,0,0,0,62833.58103
72,0,0,0,63794.96894
73,0,0,0,61890.30688
74,0,0,0,62327.14832
75,0,0,0,62475.0569
76,0,0,0,61788.19469
77,0,0,0,63471.23138
78,0,0,0,61594.23355
79,0,0,0,62875.69522
80,0,0,0,62836.08426
81,0,0,0,62902.93248
82,0,0,0,62677.16778
83,0,0,0,62683.67952
84,0,0,0,63110.26378
85,0,0,0,63899.61838
86,0,0,0,63920.87358
87,0,0,0,62285.19656
88,0,0,0,63878.93617
89,0,0,0,61661.17195
90,0,0,0,63858.01466
91,0,0,0,62150.14139
92,0,0,0,61701.0871
93,0,0,0,63806.72837
94,0,0,0,61569.76896
95,0,0,0,63323.40181
96,0,0,0,62349.68851
97,0,0,0,62744.95254
98,0,0,0,61959.61607
99,0,0,0,63227.33536
100,0,0,0,63552.88992
101,0,0,0,63883.48759
102,0,0,0,61826.59834
103,0,0,0,63821.97923
104,0,0,0,63506.65943
105,0,0,0,61662.45743
106,0,0,0,61747.87518
107,0,0,0,62664.95399
108,0,0,0,62872.23967
109,0,0,0,62784.92727
110,0,0,0,62059.63369
111,0,0,0,61513.45436
112,0,0,0,61907.65327
113,0,0,0,63713.63573
114,0,0,0,62809.23722
115,0,0,0,63010.61134
116,0,0,0,63182.28244
117,0,0,0,61696.03848
118,0,0,0,63673.35417
119,0,0,0,62446.92692
120,0,0,0,63926.25937
121,0,0,0,61689.85213
122,0,0,0,63606.14087
123,0,0,0,62956.58375
124,0,0,0,63546.21172
125,0,0,0,62927.78443
126,0,0,0,63751.91656
127,0,0,0,63321.97224
128,0,0,0,62819.67321
129,0,0,0,62907.08878
130,0,0,0,63332.73593
131,0,0,0,61827.75057
132,0,0,0,62700.71683
133,0,0,0,62542.62063
134,0,0,0,62099.67823
135,0,0,0,63046.89093
136,0,0,0,61873.99006
137,0,0,0,62506.74594
138,0,0,0,61571.6552
139,0,0,0,63126.14207
140,0,0,0,63504.73037
141,0,0,0,62147.39665
142,0,0,0,63568.77891
143,0,0,0,63298.11917
144,0,0,0,62669.11687
145,0,0,0,63575.50356
146,0,0,0,63291.57137
147,0,0,0,62050.53796
148,0,0,0,62618.83904
149,0,0,0,62147.80335
150,0,0,0,63103.59455
151,0,0,0,63109.72928
152,0,0,0,63714.32606
153,0,0,0,63643.90119
154,0,0,0,61535.68645
155,0,0,0,62238.63455
156,0,0,0,63123.48036
157,0,0,0,61600.69082
158,0,0,0,63779.2737
159,0,0,0,62575.24402
160,0,0,0,61911.14376
161,0,0,0,62865.73818
162,0,0,0,63158.6699
163,0,0,0,61401.07947
164,0,0,0,62313.03617
165,0,0,0,62152.2093
166,0,0,0,62475.30629
167,0,0,0,63093.3825
168,0,0,0,61872.36677
169,0,0,0,63713.75099
170,0,0,0,62088.152
171,0,0,0,63664.65038
172,0,0,0,62428.93071
173,0,0,0,63490.53159
174,0,0,0,63514.48318
175,0,0,0,61643.04357
176,0,0,0,62930.35891
177,0,0,0,62191.16932
178,0,0,0,63176.16611
179,0,0,0,63320.98029
180,0,0,0,61596.10234
181,0,0,0,62885.21662
182,0,0,0,62451.31221
183,0,0,0,61712.4743
184,0,0,0,61543.40696
185,0,0,0,63238.37154
186,0,0,0,63630.49293
187,0,0,0,62825.4825
188,0,0,0,62670.18273
189,0,0,0,63837.61467
190,0,0,0,62852.96194
191,0,0,0,63175.5462
192,0,0,0,61556.47687
193,0,0,0,62517.96251
194,0,0,0,62412.1159
195,0,0,0,62202.71562
196,0,0,0,62288.90691
197,0,0,0,63679.26719
198,0,0,0,63230.23583
199,0,0,0,63794.0102
200,0,0,0,62153.30811
201,0,0,0,62449.82549
202,0,0,0,62405.2802
203,0,0,0,62590.42648
204,0,0,0,62861.89053
205,0,0,0,62850.82403
206,0,0,0,61877.99074
207,0,0,0,62290.7923
208,0,0,0,63718.24087
209,0,0,0,62165.78425
210,0,0,0,62846.27521
211,0,0,0,63814.69549
212,0,0,0,62249.8428
213,0,0,0,63184.06433
214,0,0,0,62030.50241
215,0,0,0,62995.12549
